split,resolution,manifest_index,image_path,image_sha256,file_stem,traffic_type,label,variant,hardware_source,original_width,original_height,resized_width,resized_height,canvas_width,canvas_height,pad_left,pad_right,pad_top,pad_bottom,horizontal_padding,aspect_width_error_pixels,padding_max_abs_normalized,tensor_sha256
project_train,r256,0,train/attack/digital_1/huawei/arabic-003_03.jpg,656ff1b4dd0cdaef972c7edf4101876841753d9c3a5dc28b65ba54a1483a35bf,arabic-003_03,attack,1,digital_1,huawei,3023,1884,410,256,432,256,11,11,0,0,22,0.768577494692,0,9fbc5be4da1b9069b524588bb3a2a3a96f3bd05f457f30a5e6b2bcadd97178f0
project_train,r256,1,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,275d7d5d9f1e0611a23a373909e5e7a3c6b776be5176a7b16017aadd470f5ca7,arabic-003_03,attack,1,digital_1,iphone15pro,2619,1605,417,256,432,256,7,8,0,0,15,0.734579439252,0,77f7377d607c9acb9308f27d0c4b108142bf38d597516716277946be209c434c
project_train,r256,2,train/attack/digital_1/scan/arabic-003_03.jpg,2a928839fa410bfe3ec4bc31a71db8ad716a97f9d0d37cac40998ff8df23e06f,arabic-003_03,attack,1,digital_1,scan,2001,1244,411,256,432,256,10,11,0,0,21,0.781350482315,0,fe0f76a309b8243e54d7a8dbc7354dcb3b0b46f5a5c64a6ecffa6a2b85cf2a7e
project_train,r256,3,train/attack/digital_2/huawei/arabic-003_03.jpg,d049fe38f3ec2b3febe1e962cd4be127698f8b76461549f90472170028ed9a6f,arabic-003_03,attack,1,digital_2,huawei,3023,1884,410,256,432,256,11,11,0,0,22,0.768577494692,0,d5b710893181b567e55c2a0f3d606c1c830355fa600633e04382a20170c46fe8
project_train,r256,4,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,0671853c41ca3b36425269793a038b2a417579255fb814e80ff4a6d1678672cc,arabic-003_03,attack,1,digital_2,iphone15pro,2619,1605,417,256,432,256,7,8,0,0,15,0.734579439252,0,034556f2eba7d798d3638d4ccf880cd6b7d5597d34954c8bbe0e6b28d125aa8d
project_train,r256,5,train/attack/digital_2/scan/arabic-003_03.jpg,54152be11fb28ffb15928101c8ec272560425e5eafdec9d715c4290d21c3f953,arabic-003_03,attack,1,digital_2,scan,2001,1244,411,256,432,256,10,11,0,0,21,0.781350482315,0,4122142fc724bc2abdba95e157b0170bb8237ca2bd12083a1b8167458175901a
project_train,r256,6,train/bonafide/huawei/arabic-003_03.jpg,0a2f985ead79169ead378f14d1af08f4d22f35641bb9e2ad37e9d5d3730be007,arabic-003_03,bonafide,0,,huawei,3023,1884,410,256,432,256,11,11,0,0,22,0.768577494692,0,8ce0870b61c43d89482c02a0f6177393ec78e07034a12e2d0a628461be22e936
project_train,r256,7,train/bonafide/iphone15pro/arabic-003_03.jpg,a5e1940620b27684a6516d7be97120090e0bd66db136a3b14c140aa3664477df,arabic-003_03,bonafide,0,,iphone15pro,2619,1605,417,256,432,256,7,8,0,0,15,0.734579439252,0,c3f7025c96790a491b212f34871dc771244dd7422ee855a0e40ba85fdb985888
project_train,r256,8,train/bonafide/scan/arabic-003_03.jpg,be5d55392dfd152ed28550856184a8849f8b20ffb6024734dd782f2f8f227c5a,arabic-003_03,bonafide,0,,scan,2001,1244,411,256,432,256,10,11,0,0,21,0.781350482315,0,b6f1bdfedeb1975edeba90020589b0f715946e23ef4b0341aed5105c8882836a
project_train,r256,9,train/attack/digital_1/huawei/arabic-005_03.jpg,725eca7ff982a1c1f4032ddb0c44596ff489109d725e39d7f1bb7e4e103c344c,arabic-005_03,attack,1,digital_1,huawei,3068,1882,417,256,432,256,7,8,0,0,15,0.326248671626,0,cd62b436acfe83a131097c228659fd96ffaa8b06f5161e112e1b266c87d753a5
project_train,r256,10,train/attack/digital_1/iphone15pro/arabic-005_03.jpg,d3188f576c20431853d7d6702a20e9177d9a025c908a493268867c3895e6a21e,arabic-005_03,attack,1,digital_1,iphone15pro,2743,1703,412,256,432,256,10,10,0,0,20,0.335877862595,0,252007b26b0387360c88630432cdecb86a232d847c9844116c29610f269d3ea0
project_train,r256,11,train/attack/digital_1/scan/arabic-005_03.jpg,b63e47a8930d3c234c88b6c93c86f4fe6f391bb9b9c67294e83b58fe9d90f383,arabic-005_03,attack,1,digital_1,scan,2001,1248,410,256,432,256,11,11,0,0,22,0.461538461538,0,cfc15c5e08d852ab8bcb4b20dc8cf9e88cb7c1de8274fb806114cdf47cb0dcb7
