image_path,image_sha256,file_stem,traffic_type,variant,hardware_source,face_db,face_id,gender,project_role
train/attack/digital_1/huawei/arabic-003_03.jpg,656ff1b4dd0cdaef972c7edf4101876841753d9c3a5dc28b65ba54a1483a35bf,arabic-003_03,attack,digital_1,huawei,facelab_london,003_03,F,project_train
train/attack/digital_1/iphone15pro/arabic-003_03.jpg,275d7d5d9f1e0611a23a373909e5e7a3c6b776be5176a7b16017aadd470f5ca7,arabic-003_03,attack,digital_1,iphone15pro,facelab_london,003_03,F,project_train
train/attack/digital_1/scan/arabic-003_03.jpg,2a928839fa410bfe3ec4bc31a71db8ad716a97f9d0d37cac40998ff8df23e06f,arabic-003_03,attack,digital_1,scan,facelab_london,003_03,F,project_train
train/attack/digital_2/huawei/arabic-003_03.jpg,d049fe38f3ec2b3febe1e962cd4be127698f8b76461549f90472170028ed9a6f,arabic-003_03,attack,digital_2,huawei,facelab_london,003_03,F,project_train
train/attack/digital_2/iphone15pro/arabic-003_03.jpg,0671853c41ca3b36425269793a038b2a417579255fb814e80ff4a6d1678672cc,arabic-003_03,attack,digital_2,iphone15pro,facelab_london,003_03,F,project_train
train/attack/digital_2/scan/arabic-003_03.jpg,54152be11fb28ffb15928101c8ec272560425e5eafdec9d715c4290d21c3f953,arabic-003_03,attack,digital_2,scan,facelab_london,003_03,F,project_train
train/bonafide/huawei/arabic-003_03.jpg,0a2f985ead79169ead378f14d1af08f4d22f35641bb9e2ad37e9d5d3730be007,arabic-003_03,bonafide,,huawei,facelab_london,003_03,F,project_train
train/bonafide/iphone15pro/arabic-003_03.jpg,a5e1940620b27684a6516d7be97120090e0bd66db136a3b14c140aa3664477df,arabic-003_03,bonafide,,iphone15pro,facelab_london,003_03,F,project_train
train/bonafide/scan/arabic-003_03.jpg,be5d55392dfd152ed28550856184a8849f8b20ffb6024734dd782f2f8f227c5a,arabic-003_03,bonafide,,scan,facelab_london,003_03,F,project_train
train/attack/digital_1/huawei/arabic-005_03.jpg,725eca7ff982a1c1f4032ddb0c44596ff489109d725e39d7f1bb7e4e103c344c,arabic-005_03,attack,digital_1,huawei,facelab_london,005_03,M,project_train
train/attack/digital_1/iphone15pro/arabic-005_03.jpg,d3188f576c20431853d7d6702a20e9177d9a025c908a493268867c3895e6a21e,arabic-005_03,attack,digital_1,iphone15pro,facelab_london,005_03,M,project_train
train/attack/digital_1/scan/arabic-005_03.jpg,b63e47a8930d3c234c88b6c93c86f4fe6f391bb9b9c67294e83b58fe9d90f383,arabic-005_03,attack,digital_1,scan,facelab_london,005_03,M,project_train
train/attack/digital_2/huawei/arabic-005_03.jpg,510d0438f0a7f84da3a8c338f879ac6791acb770e7a412f69c9894445030a96a,arabic-005_03,attack,digital_2,huawei,facelab_london,005_03,M,project_train
train/attack/digital_2/iphone15pro/arabic-005_03.jpg,d52070b65eaf51e45d58a18212320d55b5ae62962e6abd88115222caebd94c59,arabic-005_03,attack,digital_2,iphone15pro,facelab_london,005_03,M,project_train
train/attack/digital_2/scan/arabic-005_03.jpg,fb91274f4b1423942ba2c1847374d096968f5e958cdb6b627347630f5ec2b430,arabic-005_03,attack,digital_2,scan,facelab_london,005_03,M,project_train
train/bonafide/huawei/arabic-005_03.jpg,e94b0ff71e2a8eaf68e5d0932e4d96804385ba4f70cd24f3132cf8e898d01d19,arabic-005_03,bonafide,,huawei,facelab_london,005_03,M,project_train
train/bonafide/iphone15pro/arabic-005_03.jpg,0f1c951169aaab77ce868e4cb066958426a2e2aa5a02fb896c45662da887078c,arabic-005_03,bonafide,,iphone15pro,facelab_london,005_03,M,project_train
train/bonafide/scan/arabic-005_03.jpg,7839393aeadbc2c9cbdebc4c72b5d61d6d7f48b2ba3b193e48207b330da5ff53,arabic-005_03,bonafide,,scan,facelab_london,005_03,M,project_train
train/attack/digital_1/huawei/arabic-112_03.jpg,29b0053486f492d98eff55215576e7ccb15ebcbcd43d56744ec451e55c2bc61d,arabic-112_03,attack,digital_1,huawei,facelab_london,112_03,F,project_train
train/attack/digital_1/iphone15pro/arabic-112_03.jpg,46e03263cb7f8efda5418b240602241020ad024a00cf181a2c93bc7c414d490c,arabic-112_03,attack,digital_1,iphone15pro,facelab_london,112_03,F,project_train
train/attack/digital_1/scan/arabic-112_03.jpg,c13751542fc56a6db589d8d18d88b7d5f8e8d9191fc7cb8a4ba5c90e09fb35b1,arabic-112_03,attack,digital_1,scan,facelab_london,112_03,F,project_train
train/attack/digital_2/huawei/arabic-112_03.jpg,61041de2e01d8ebaed4bae19ac99bb0d9fbb46aa4acbc4f92c744141110c1c9a,arabic-112_03,attack,digital_2,huawei,facelab_london,112_03,F,project_train
train/attack/digital_2/iphone15pro/arabic-112_03.jpg,1f032b567fd1d866a3916f5c3150bc5e7e05a24223e14dd610184ee33179eae9,arabic-112_03,attack,digital_2,iphone15pro,facelab_london,112_03,F,project_train
train/attack/digital_2/scan/arabic-112_03.jpg,ab4a947a18c9937a4baf6f49adfc568c2bb86fc9363f111056aa7a57f04a577d,arabic-112_03,attack,digital_2,scan,facelab_london,112_03,F,project_train
train/bonafide/huawei/arabic-112_03.jpg,c4eb6666899ce34aaf164197229a8a32050d121b21f7b9869dc6710bf2256dc8,arabic-112_03,bonafide,,huawei,facelab_london,112_03,F,project_train
train/bonafide/iphone15pro/arabic-112_03.jpg,5bc11c2dcf123f22e36c25c6b0bc1cc97d6e98fbbd3114bb88f40b21ec829d57,arabic-112_03,bonafide,,iphone15pro,facelab_london,112_03,F,project_train
train/bonafide/scan/arabic-112_03.jpg,a83ca005a1b68787c18617619d7984e12933a2ac757b11342cdb242cff68c7ce,arabic-112_03,bonafide,,scan,facelab_london,112_03,F,project_train
train/attack/digital_1/huawei/arabic-131_03.jpg,ecdbd91274aaa77cdddadc69f52573c25635c7ecd20400ee68d095b5037e5eba,arabic-131_03,attack,digital_1,huawei,facelab_london,131_03,M,project_train
train/attack/digital_1/iphone15pro/arabic-131_03.jpg,215096643cf48f9a941da80292df6bc6bf5e6cfba24f765526351138f100c3d3,arabic-131_03,attack,digital_1,iphone15pro,facelab_london,131_03,M,project_train
train/attack/digital_1/scan/arabic-131_03.jpg,7236a9d5a200bd9760d4fc99a72ba72d2150122d1a24105875ff61f5d0772792,arabic-131_03,attack,digital_1,scan,facelab_london,131_03,M,project_train
train/attack/digital_2/huawei/arabic-131_03.jpg,baa360f3be5f28f622a6f2d53bb2d4b89192c4ff231d3c0e6c7bedec5abd6be0,arabic-131_03,attack,digital_2,huawei,facelab_london,131_03,M,project_train
train/attack/digital_2/iphone15pro/arabic-131_03.jpg,b0c63da99e2300149c3d0dc63ed1188081fe144f3be7dda381e1c800ba66e52c,arabic-131_03,attack,digital_2,iphone15pro,facelab_london,131_03,M,project_train
train/attack/digital_2/scan/arabic-131_03.jpg,f11917ef5a58f229aae950f904c38b3b02c72153a810a8324e8aacc376b619e0,arabic-131_03,attack,digital_2,scan,facelab_london,131_03,M,project_train
train/bonafide/huawei/arabic-131_03.jpg,f733731b992459fa0617ee1dc4d11c5dd10f4be92f61163a51ad732a91f0f27c,arabic-131_03,bonafide,,huawei,facelab_london,131_03,M,project_train
train/bonafide/iphone15pro/arabic-131_03.jpg,c645536856335dc4eaa5da390dc7670b190fe7393eb07f4524eb356b1ae53eab,arabic-131_03,bonafide,,iphone15pro,facelab_london,131_03,M,project_train
train/bonafide/scan/arabic-131_03.jpg,1534f772688251e15dce3a30d6bdaa42db7f6dc093fd128c13dd5271734bb4d5,arabic-131_03,bonafide,,scan,facelab_london,131_03,M,project_train
train/attack/digital_1/huawei/arabic-139_03.jpg,24487bbecef058e2eb265baa34d459ae19f5eb1ee0fef6325f2aa81b56544287,arabic-139_03,attack,digital_1,huawei,facelab_london,139_03,F,project_train
train/attack/digital_1/iphone15pro/arabic-139_03.jpg,6c40a95354b76ec9f0f2507f4271ee0282e024bda5ebb729607f637559406712,arabic-139_03,attack,digital_1,iphone15pro,facelab_london,139_03,F,project_train
train/attack/digital_1/scan/arabic-139_03.jpg,1682b6762971508dff0fce7aa8e16cd54c705fed25386d8016a8bba07e823006,arabic-139_03,attack,digital_1,scan,facelab_london,139_03,F,project_train
train/attack/digital_2/huawei/arabic-139_03.jpg,0957de4cbe7e30997749ef645efe9be15fac7dc861cabfca97c8f58679c51798,arabic-139_03,attack,digital_2,huawei,facelab_london,139_03,F,project_train
train/attack/digital_2/iphone15pro/arabic-139_03.jpg,58f8daf1da12e77d8376b8afdf81a4d1dab09798260940c6044177e9d30bf0e5,arabic-139_03,attack,digital_2,iphone15pro,facelab_london,139_03,F,project_train
train/attack/digital_2/scan/arabic-139_03.jpg,0bf66daf523a7c04377bb5d4886be5a2591af614c7b0e2b834408c35bc19c054,arabic-139_03,attack,digital_2,scan,facelab_london,139_03,F,project_train
train/bonafide/huawei/arabic-139_03.jpg,18a678c1e4fbdc399f8559e4ad431c0625540104a9c60af04cb0320df5260711,arabic-139_03,bonafide,,huawei,facelab_london,139_03,F,project_train
